# MCMC Posterior Means:
Amplitude: 143.9479
Mean: 7219.3934
Sigma: 11.0761
Polynomial Coefficients: [5.922892719127843e-07, -0.012727394641438608, 91.13996563026119, -217442.81536005202]
Chi2: 2.5434e-01
Chi2_nu: 6.3586e-03

# Wavelength  TotalFit  Gaussian  Continuum
7057.057000  50.305259  0.000000  50.305259
7063.063000  50.272979  0.000000  50.272979
7069.069000  50.227910  0.000000  50.227910
7075.075000  50.170823  0.000000  50.170823
7081.081000  50.102486  0.000000  50.102486
7087.087000  50.023671  0.000000  50.023671
7093.093000  49.935147  0.000000  49.935147
7099.099000  49.837684  0.000000  49.837684
7105.105000  49.732052  0.000000  49.732052
7111.111000  49.619020  0.000000  49.619020
7117.117000  49.499359  0.000000  49.499359
7123.123000  49.373839  0.000000  49.373839
7129.129000  49.243229  0.000000  49.243229
7135.135000  49.108299  0.000000  49.108299
7141.141000  48.969820  0.000000  48.969820
7147.147000  48.828561  0.000000  48.828561
7153.153000  48.685295  0.000002  48.685292
7159.159000  48.540838  0.000054  48.540784
7165.165000  48.396702  0.000898  48.395805
7171.171000  48.262146  0.011020  48.251126
7177.177000  48.208353  0.100837  48.107517
7183.183000  48.653381  0.687634  47.965747
7189.189000  51.321198  3.494611  47.826587
7195.195000  60.926392  13.235585  47.690807
7201.201000  84.917773  37.358598  47.559176
7207.207000  126.017725  78.585261  47.432464
7213.213000  170.506914  123.195472  47.311442
7219.219000  191.126939  143.930060  47.196878
7225.225000  172.406946  125.317402  47.089544
7231.231000  128.305902  81.315694  46.990209
7237.237000  86.222084  39.322441  46.899643
7243.243000  60.989915  14.171300  46.818615
7249.249000  50.554012  3.806116  46.747896
7255.255000  47.450085  0.761829  46.688256
7261.261000  46.754106  0.113641  46.640464
7267.267000  46.617925  0.012633  46.605291
7273.273000  46.584553  0.001047  46.583506
7279.279000  46.575945  0.000065  46.575880
7285.285000  46.583185  0.000003  46.583182
7291.291000  46.606181  0.000000  46.606181
7297.297000  46.645649  0.000000  46.645649
7303.303000  46.702355  0.000000  46.702355
7309.309000  46.777068  0.000000  46.777068
7315.315000  46.870560  0.000000  46.870560
7321.321000  46.983599  0.000000  46.983599
7327.327000  47.116955  0.000000  47.116955
7333.333000  47.271399  0.000000  47.271399
