# MCMC Posterior Means:
Amplitude: 0.3132
Mean: 5223.7810
Sigma: 11.1974
Polynomial Coefficients: [-3.6741208086082407e-09, 5.856644969783767e-05, -0.31108811214479404, 550.8040616507201]
Chi2: 9.5275e+01
Chi2_nu: 4.0031e-01

# Wavelength  TotalFit  Gaussian  Continuum
4994.939224  0.264704  0.000000  0.264704
4996.882843  0.262739  0.000000  0.262739
4998.826462  0.260800  0.000000  0.260800
5000.770081  0.258888  0.000000  0.258888
5002.713700  0.257001  0.000000  0.257001
5004.657319  0.255140  0.000000  0.255140
5006.600938  0.253305  0.000000  0.253305
5008.544557  0.251496  0.000000  0.251496
5010.488176  0.249712  0.000000  0.249712
5012.431795  0.247953  0.000000  0.247953
5014.375414  0.246219  0.000000  0.246219
5016.319033  0.244510  0.000000  0.244510
5018.262652  0.242826  0.000000  0.242826
5020.206271  0.241166  0.000000  0.241166
5022.149890  0.239531  0.000000  0.239531
5024.093509  0.237920  0.000000  0.237920
5026.037128  0.236333  0.000000  0.236333
5027.980747  0.234771  0.000000  0.234771
5029.924366  0.233231  0.000000  0.233231
5031.867985  0.231716  0.000000  0.231716
5033.811604  0.230224  0.000000  0.230224
5035.755224  0.228755  0.000000  0.228755
5037.698843  0.227309  0.000000  0.227309
5039.642462  0.225887  0.000000  0.225887
5041.586081  0.224487  0.000000  0.224487
5043.529700  0.223110  0.000000  0.223110
5045.473319  0.221755  0.000000  0.221755
5047.416938  0.220422  0.000000  0.220422
5049.360557  0.219112  0.000000  0.219112
5051.304176  0.217824  0.000000  0.217824
5053.247795  0.216557  0.000000  0.216557
5055.191414  0.215312  0.000000  0.215312
5057.135033  0.214089  0.000000  0.214089
5059.078652  0.212887  0.000000  0.212887
5061.022271  0.211706  0.000000  0.211706
5062.965890  0.210547  0.000000  0.210547
5064.909509  0.209408  0.000000  0.209408
5066.853128  0.208290  0.000000  0.208290
5068.796747  0.207192  0.000000  0.207192
5070.740366  0.206115  0.000000  0.206115
5072.683985  0.205057  0.000000  0.205057
5074.627604  0.204020  0.000000  0.204020
5076.571223  0.203003  0.000000  0.203003
5078.514842  0.202006  0.000000  0.202006
5080.458461  0.201028  0.000000  0.201028
5082.402080  0.200069  0.000000  0.200069
5084.345699  0.199130  0.000000  0.199130
5086.289318  0.198210  0.000000  0.198210
5088.232937  0.197309  0.000000  0.197309
5090.176556  0.196426  0.000000  0.196426
5092.120175  0.195562  0.000000  0.195562
